City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Butaritari,KI,3.0707,172.7902,82.38,77,70,14.94,light rain
80,Meulaboh,ID,4.1363,96.1285,74.61,79,100,5.68,overcast clouds
81,Wakkanai,JP,45.4094,141.6739,61.81,83,94,4.09,overcast clouds
82,Hithadhoo,MV,-0.6,73.0833,81.23,76,100,6.96,light rain
83,Quchan,IR,37.106,58.5095,71.11,48,0,3.18,clear sky
84,Sawtell,AU,-30.3833,153.1,59.18,77,100,0.0,overcast clouds
85,Phan Thiet,VN,10.9333,108.1,78.89,84,100,8.81,overcast clouds
86,Xingyi,CN,24.1877,102.817,63.75,91,100,3.67,overcast clouds
87,Alta Floresta,BR,-9.8756,-56.0861,75.02,69,0,0.0,clear sky
88,Tazovskiy,RU,67.4667,78.7,47.88,71,7,16.67,clear sky
89,Cape Town,ZA,-33.9258,18.4232,68.38,41,0,5.75,clear sky
90,Buala,SB,-8.145,159.5921,83.37,77,88,13.69,light rain
91,Vila Velha,BR,-20.3297,-40.2925,71.55,85,75,8.05,broken clouds
92,Mo I Rana,NO,66.3128,14.1428,70.27,80,20,4.61,few clouds
93,Sainte-Rose,GP,16.3324,-61.6979,82.44,74,40,10.36,scattered clouds
94,Gombong,ID,-7.6072,109.5142,74.16,90,82,3.29,broken clouds
95,Lingyuan,CN,41.24,119.4011,73.22,76,100,2.8,light rain
96,Severo-Kurilsk,RU,50.6789,156.125,53.91,76,36,15.57,scattered clouds
97,Simplicio Mendes,BR,-7.8539,-41.9103,76.89,44,10,5.79,clear sky
98,Belaya Gora,RU,68.5333,146.4167,60.71,49,99,7.63,overcast clouds
99,Atuona,PF,-9.8,-139.0333,76.69,69,9,13.09,clear sky
100,Altay,CN,47.8667,88.1167,70.03,53,94,3.58,overcast clouds
101,Yellowknife,CA,62.456,-114.3525,63.12,31,40,8.05,scattered clouds
102,Tuatapere,NZ,-46.1333,167.6833,44.49,86,86,13.96,light rain
103,Buchanan,LR,5.8808,-10.0467,76.32,86,63,8.39,light rain
104,Yinchuan,CN,38.4681,106.2731,78.64,33,57,1.92,broken clouds
105,Sisimiut,GL,66.9395,-53.6735,41.07,88,99,4.92,overcast clouds
106,Syumsi,RU,57.1111,51.6149,45.63,91,98,6.98,overcast clouds
107,Clyde River,CA,70.4692,-68.5914,37.63,81,0,8.05,clear sky
108,Oruro,BO,-17.9833,-67.15,44.51,17,0,6.67,clear sky
109,Curillo,CO,1.0333,-75.9191,72.27,95,24,0.6,light rain
110,Toppenish,US,46.3774,-120.3087,88.7,27,61,1.43,broken clouds
111,Provideniya,RU,64.3833,-173.3,55.51,71,100,11.18,overcast clouds
112,Mecca,SA,21.4267,39.8261,87.69,21,3,7.74,clear sky
113,Vardo,NO,70.3705,31.1107,46.38,93,100,11.5,overcast clouds
114,Beaverlodge,CA,55.2166,-119.4361,78.15,44,28,4.92,scattered clouds
115,Tuktoyaktuk,CA,69.4541,-133.0374,66.2,48,75,9.22,broken clouds
116,Sao Filipe,CV,14.8961,-24.4956,74.14,80,17,7.9,few clouds
117,Dinard,FR,48.6314,-2.0614,52.63,95,20,4.61,few clouds
118,Independenta,RO,45.4833,27.75,71.28,57,33,4.25,scattered clouds
119,Taltal,CL,-25.4,-70.4833,57.02,79,21,0.6,few clouds
120,Pingliang,CN,35.5392,106.6861,75.22,44,45,1.92,scattered clouds
121,Thompson,CA,55.7435,-97.8558,51.96,66,75,16.11,light intensity shower rain
122,Kodiak,US,57.79,-152.4072,54.91,82,100,10.36,mist
123,Cabano,PH,10.5869,122.7002,82.65,76,100,8.72,overcast clouds
124,Miramar,US,25.9873,-80.2323,88.0,73,20,13.8,few clouds
125,Diego De Almagro,CL,-26.3667,-70.05,54.05,57,0,1.66,clear sky
126,Mahebourg,MU,-20.4081,57.7,66.49,94,75,8.05,light intensity shower rain
127,Port Hardy,CA,50.6996,-127.4199,60.98,82,100,6.91,overcast clouds
128,Sumbawanga,TZ,-7.9667,31.6167,49.91,83,3,3.76,clear sky
129,Kismayo,SO,-0.3582,42.5454,76.08,75,18,18.84,few clouds
130,Sola,VU,-13.8833,167.55,80.53,77,62,24.38,broken clouds
131,Lebu,CL,-37.6167,-73.65,49.68,93,100,27.31,moderate rain
132,Nizhniy Tsasuchey,RU,50.5167,115.1333,83.05,32,54,10.63,broken clouds
133,Namibe,AO,-15.1961,12.1522,66.51,89,19,6.24,few clouds
134,Ballina,AU,-28.8667,153.5667,57.02,99,100,4.45,light rain
135,Kearney,US,40.6995,-99.0815,90.16,51,0,4.61,clear sky
136,Kibuye,RW,-2.0597,29.3482,65.55,68,22,2.26,few clouds
137,Atlantis,ZA,-33.5667,18.4834,62.98,45,0,9.64,clear sky
138,Mehamn,NO,71.0357,27.8492,46.35,100,100,12.66,overcast clouds
139,Tehachapi,US,35.1322,-118.449,91.4,18,0,11.99,clear sky
140,Kapaa,US,22.0752,-159.319,84.52,68,40,13.8,scattered clouds
141,Poum,NC,-20.2333,164.0167,74.89,63,11,12.06,few clouds
142,Turochak,RU,52.2576,87.1224,59.61,99,99,1.63,overcast clouds
